# Data from simulation of 500 agents with various levels         of sheltering or mask usage
time,percent sheltering,percent wearing masks,infected,        exposed,recovered,infected with mask,susceptible with mask,        infected symptomatic,infected asymptomatic,new infected,percent asymptomatic
1,0.8,0.4,0,1,0,0,209,0,0,0,4
2,0.8,0.4,0,1,0,0,209,0,0,0,4
3,0.8,0.4,0,1,0,0,209,0,0,0,4
4,0.8,0.4,0,1,0,0,209,0,0,0,4
5,0.8,0.4,0,1,0,0,209,0,0,0,4
6,0.8,0.4,0,1,0,0,209,0,0,0,4
7,0.8,0.4,0,1,0,0,209,0,0,0,4
8,0.8,0.4,0,1,0,0,209,0,0,0,4
9,0.8,0.4,0,1,0,0,209,0,0,0,4
10,0.8,0.4,0,1,0,0,209,0,0,0,4
11,0.8,0.4,0,1,0,0,209,0,0,0,4
12,0.8,0.4,0,1,0,0,209,0,0,0,4
13,0.8,0.4,0,1,0,0,209,0,0,0,4
14,0.8,0.4,0,1,0,0,209,0,0,0,4
15,0.8,0.4,0,1,0,0,209,0,0,0,4
16,0.8,0.4,0,1,0,0,209,0,0,0,4
17,0.8,0.4,0,1,0,0,209,0,0,0,4
18,0.8,0.4,0,1,0,0,209,0,0,0,4
19,0.8,0.4,0,1,0,0,209,0,0,0,4
20,0.8,0.4,0,1,0,0,209,0,0,0,4
21,0.8,0.4,0,1,0,0,209,0,0,0,4
22,0.8,0.4,0,1,0,0,209,0,0,0,4
23,0.8,0.4,0,1,0,0,209,0,0,0,4
24,0.8,0.4,0,1,0,0,209,0,0,0,4
25,0.8,0.4,0,1,0,0,209,0,0,0,4
26,0.8,0.4,0,1,0,0,209,0,0,0,4
27,0.8,0.4,0,1,0,0,209,0,0,0,4
28,0.8,0.4,0,1,0,0,209,0,0,0,4
29,0.8,0.4,0,1,0,0,209,0,0,0,4
30,0.8,0.4,0,1,0,0,209,0,0,0,4
31,0.8,0.4,0,1,0,0,209,0,0,0,4
32,0.8,0.4,0,1,0,0,209,0,0,0,4
33,0.8,0.4,0,1,0,0,209,0,0,0,4
34,0.8,0.4,0,1,0,0,209,0,0,0,4
35,0.8,0.4,0,1,0,0,209,0,0,0,4
36,0.8,0.4,0,1,0,0,209,0,0,0,4
37,0.8,0.4,0,1,0,0,209,0,0,0,4
38,0.8,0.4,0,1,0,0,209,0,0,0,4
39,0.8,0.4,0,1,0,0,209,0,0,0,4
40,0.8,0.4,0,1,0,0,209,0,0,0,4
41,0.8,0.4,0,1,0,0,209,0,0,0,4
42,0.8,0.4,0,1,0,0,209,0,0,0,4
43,0.8,0.4,0,1,0,0,209,0,0,0,4
44,0.8,0.4,0,1,0,0,209,0,0,0,4
45,0.8,0.4,0,1,0,0,209,0,0,0,4
46,0.8,0.4,0,1,0,0,209,0,0,0,4
47,0.8,0.4,0,1,0,0,209,0,0,0,4
48,0.8,0.4,0,1,0,0,209,0,0,0,4
49,0.8,0.4,0,1,0,0,209,0,0,0,4
50,0.8,0.4,0,1,0,0,209,0,0,0,4
51,0.8,0.4,0,1,0,0,209,0,0,0,4
52,0.8,0.4,0,1,0,0,209,0,0,0,4
53,0.8,0.4,0,1,0,0,209,0,0,0,4
54,0.8,0.4,0,1,0,0,209,0,0,0,4
55,0.8,0.4,0,1,0,0,209,0,0,0,4
56,0.8,0.4,0,1,0,0,209,0,0,0,4
57,0.8,0.4,0,1,0,0,209,0,0,0,4
58,0.8,0.4,0,1,0,0,209,0,0,0,4
59,0.8,0.4,0,1,0,0,209,0,0,0,4
60,0.8,0.4,0,1,0,0,209,0,0,0,4
61,0.8,0.4,0,1,0,0,209,0,0,0,4
62,0.8,0.4,0,1,0,0,209,0,0,0,4
63,0.8,0.4,0,1,0,0,209,0,0,0,4
64,0.8,0.4,0,1,0,0,209,0,0,0,4
65,0.8,0.4,0,1,0,0,209,0,0,0,4
66,0.8,0.4,0,1,0,0,209,0,0,0,4
67,0.8,0.4,0,1,0,0,209,0,0,0,4
68,0.8,0.4,0,1,0,0,209,0,0,0,4
69,0.8,0.4,0,1,0,0,209,0,0,0,4
70,0.8,0.4,0,1,0,0,209,0,0,0,4
71,0.8,0.4,0,1,0,0,209,0,0,0,4
72,0.8,0.4,0,1,0,0,209,0,0,0,4
73,0.8,0.4,0,1,0,0,209,0,0,0,4
74,0.8,0.4,0,1,0,0,209,0,0,0,4
75,0.8,0.4,0,1,0,0,209,0,0,0,4
76,0.8,0.4,0,1,0,0,209,0,0,0,4
77,0.8,0.4,0,1,0,0,209,0,0,0,4
78,0.8,0.4,0,1,0,0,209,0,0,0,4
79,0.8,0.4,0,1,0,0,209,0,0,0,4
80,0.8,0.4,0,1,0,0,209,0,0,0,4
81,0.8,0.4,0,1,0,0,209,0,0,0,4
82,0.8,0.4,0,1,0,0,209,0,0,0,4
83,0.8,0.4,0,1,0,0,209,0,0,0,4
84,0.8,0.4,0,1,0,0,209,0,0,0,4
85,0.8,0.4,0,1,0,0,209,0,0,0,4
86,0.8,0.4,0,1,0,0,209,0,0,0,4
87,0.8,0.4,0,1,0,0,209,0,0,0,4
88,0.8,0.4,0,1,0,0,209,0,0,0,4
89,0.8,0.4,0,1,0,0,209,0,0,0,4
90,0.8,0.4,0,1,0,0,209,0,0,0,4
91,0.8,0.4,0,1,0,0,209,0,0,0,4
92,0.8,0.4,0,1,0,0,209,0,0,0,4
93,0.8,0.4,0,1,0,0,209,0,0,0,4
94,0.8,0.4,0,1,0,0,209,0,0,0,4
95,0.8,0.4,0,1,0,0,209,0,0,0,4
96,0.8,0.4,0,1,0,0,209,0,0,0,4
97,0.8,0.4,0,1,0,0,209,0,0,0,4
98,0.8,0.4,0,1,0,0,209,0,0,0,4
99,0.8,0.4,0,1,0,0,209,0,0,0,4
100,0.8,0.4,0,1,0,0,209,0,0,0,4
101,0.8,0.4,0,1,0,0,209,0,0,0,4
102,0.8,0.4,0,1,0,0,209,0,0,0,4
103,0.8,0.4,0,1,0,0,209,0,0,0,4
104,0.8,0.4,0,1,0,0,209,0,0,0,4
105,0.8,0.4,0,1,0,0,209,0,0,0,4
106,0.8,0.4,0,1,0,0,209,0,0,0,4
107,0.8,0.4,0,1,0,0,209,0,0,0,4
108,0.8,0.4,0,1,0,0,209,0,0,0,4
109,0.8,0.4,0,1,0,0,209,0,0,0,4
110,0.8,0.4,0,1,0,0,209,0,0,0,4
111,0.8,0.4,1,0,0,0,209,1,0,1,4
112,0.8,0.4,1,1,0,0,209,1,0,0,4
113,0.8,0.4,1,1,0,0,209,1,0,0,4
114,0.8,0.4,1,1,0,0,209,1,0,0,4
115,0.8,0.4,1,2,0,0,209,1,0,0,4
116,0.8,0.4,1,2,0,0,209,1,0,0,4
117,0.8,0.4,1,2,0,0,209,1,0,0,4
118,0.8,0.4,1,2,0,0,209,1,0,0,4
119,0.8,0.4,1,2,0,0,209,1,0,0,4
120,0.8,0.4,1,2,0,0,209,1,0,0,4
