# Data from simulation of 500 agents with various levels         of sheltering or mask usage
time,percent sheltering,percent wearing masks,infected,        exposed,recovered,infected with mask,susceptible with mask,        infected symptomatic,infected asymptomatic,new infected,percent asymptomatic
1,0.8,0.2,0,1,0,0,112,0,0,0,2
2,0.8,0.2,0,1,0,0,112,0,0,0,2
3,0.8,0.2,0,1,0,0,112,0,0,0,2
4,0.8,0.2,0,1,0,0,112,0,0,0,2
5,0.8,0.2,0,1,0,0,112,0,0,0,2
6,0.8,0.2,0,1,0,0,112,0,0,0,2
7,0.8,0.2,0,1,0,0,112,0,0,0,2
8,0.8,0.2,0,1,0,0,112,0,0,0,2
9,0.8,0.2,0,1,0,0,112,0,0,0,2
10,0.8,0.2,0,1,0,0,112,0,0,0,2
11,0.8,0.2,0,1,0,0,112,0,0,0,2
12,0.8,0.2,0,1,0,0,112,0,0,0,2
13,0.8,0.2,0,1,0,0,112,0,0,0,2
14,0.8,0.2,0,1,0,0,112,0,0,0,2
15,0.8,0.2,0,1,0,0,112,0,0,0,2
16,0.8,0.2,0,1,0,0,112,0,0,0,2
17,0.8,0.2,0,1,0,0,112,0,0,0,2
18,0.8,0.2,0,1,0,0,112,0,0,0,2
19,0.8,0.2,0,1,0,0,112,0,0,0,2
20,0.8,0.2,0,1,0,0,112,0,0,0,2
21,0.8,0.2,0,1,0,0,112,0,0,0,2
22,0.8,0.2,0,1,0,0,112,0,0,0,2
23,0.8,0.2,0,1,0,0,112,0,0,0,2
24,0.8,0.2,0,1,0,0,112,0,0,0,2
25,0.8,0.2,0,1,0,0,112,0,0,0,2
26,0.8,0.2,0,1,0,0,112,0,0,0,2
27,0.8,0.2,0,1,0,0,112,0,0,0,2
28,0.8,0.2,0,1,0,0,112,0,0,0,2
29,0.8,0.2,0,1,0,0,112,0,0,0,2
30,0.8,0.2,0,1,0,0,112,0,0,0,2
31,0.8,0.2,0,1,0,0,112,0,0,0,2
32,0.8,0.2,0,1,0,0,112,0,0,0,2
33,0.8,0.2,0,1,0,0,112,0,0,0,2
34,0.8,0.2,0,1,0,0,112,0,0,0,2
35,0.8,0.2,0,1,0,0,112,0,0,0,2
36,0.8,0.2,0,1,0,0,112,0,0,0,2
37,0.8,0.2,0,1,0,0,112,0,0,0,2
38,0.8,0.2,0,1,0,0,112,0,0,0,2
39,0.8,0.2,0,1,0,0,112,0,0,0,2
40,0.8,0.2,0,1,0,0,112,0,0,0,2
41,0.8,0.2,0,1,0,0,112,0,0,0,2
42,0.8,0.2,0,1,0,0,112,0,0,0,2
43,0.8,0.2,0,1,0,0,112,0,0,0,2
44,0.8,0.2,0,1,0,0,112,0,0,0,2
45,0.8,0.2,0,1,0,0,112,0,0,0,2
46,0.8,0.2,0,1,0,0,112,0,0,0,2
47,0.8,0.2,0,1,0,0,112,0,0,0,2
48,0.8,0.2,0,1,0,0,112,0,0,0,2
49,0.8,0.2,0,1,0,0,112,0,0,0,2
