# Data from simulation of 500 agents with various levels         of sheltering or mask usage
time,percent sheltering,percent wearing masks,infected,        exposed,recovered,infected with mask,susceptible with mask,        infected symptomatic,infected asymptomatic,new infected,percent asymptomatic
1,0.4,0.2,0,1,0,0,98,0,0,0,2
2,0.4,0.2,0,1,0,0,98,0,0,0,2
3,0.4,0.2,0,1,0,0,98,0,0,0,2
4,0.4,0.2,0,1,0,0,98,0,0,0,2
5,0.4,0.2,0,1,0,0,98,0,0,0,2
6,0.4,0.2,0,1,0,0,98,0,0,0,2
7,0.4,0.2,0,1,0,0,98,0,0,0,2
8,0.4,0.2,0,1,0,0,98,0,0,0,2
9,0.4,0.2,0,1,0,0,98,0,0,0,2
10,0.4,0.2,0,1,0,0,98,0,0,0,2
11,0.4,0.2,0,1,0,0,98,0,0,0,2
12,0.4,0.2,0,1,0,0,98,0,0,0,2
13,0.4,0.2,0,1,0,0,98,0,0,0,2
14,0.4,0.2,0,1,0,0,98,0,0,0,2
15,0.4,0.2,0,1,0,0,98,0,0,0,2
16,0.4,0.2,0,1,0,0,98,0,0,0,2
17,0.4,0.2,0,1,0,0,98,0,0,0,2
18,0.4,0.2,0,1,0,0,98,0,0,0,2
19,0.4,0.2,0,1,0,0,98,0,0,0,2
20,0.4,0.2,0,1,0,0,98,0,0,0,2
21,0.4,0.2,0,1,0,0,98,0,0,0,2
22,0.4,0.2,0,1,0,0,98,0,0,0,2
23,0.4,0.2,0,1,0,0,98,0,0,0,2
24,0.4,0.2,0,1,0,0,98,0,0,0,2
25,0.4,0.2,0,1,0,0,98,0,0,0,2
26,0.4,0.2,0,1,0,0,98,0,0,0,2
27,0.4,0.2,0,1,0,0,98,0,0,0,2
28,0.4,0.2,0,1,0,0,98,0,0,0,2
29,0.4,0.2,0,1,0,0,98,0,0,0,2
30,0.4,0.2,0,1,0,0,98,0,0,0,2
31,0.4,0.2,0,1,0,0,98,0,0,0,2
32,0.4,0.2,0,1,0,0,98,0,0,0,2
33,0.4,0.2,0,1,0,0,98,0,0,0,2
34,0.4,0.2,0,1,0,0,98,0,0,0,2
35,0.4,0.2,0,1,0,0,98,0,0,0,2
36,0.4,0.2,0,1,0,0,98,0,0,0,2
37,0.4,0.2,0,1,0,0,98,0,0,0,2
38,0.4,0.2,0,1,0,0,98,0,0,0,2
39,0.4,0.2,0,1,0,0,98,0,0,0,2
40,0.4,0.2,0,1,0,0,98,0,0,0,2
41,0.4,0.2,0,1,0,0,98,0,0,0,2
42,0.4,0.2,0,1,0,0,98,0,0,0,2
