# Data from simulation of 500 agents with various levels         of sheltering or mask usage
time,percent sheltering,percent wearing masks,infected,        exposed,recovered,infected with mask,susceptible with mask,        infected symptomatic,infected asymptomatic,new infected,percent asymptomatic
1,0.2,0.6,0,1,0,0,283,0,0,0,6
2,0.2,0.6,0,1,0,0,283,0,0,0,6
3,0.2,0.6,0,1,0,0,283,0,0,0,6
4,0.2,0.6,0,1,0,0,283,0,0,0,6
5,0.2,0.6,0,1,0,0,283,0,0,0,6
6,0.2,0.6,0,1,0,0,283,0,0,0,6
7,0.2,0.6,0,1,0,0,283,0,0,0,6
8,0.2,0.6,0,1,0,0,283,0,0,0,6
9,0.2,0.6,0,1,0,0,283,0,0,0,6
10,0.2,0.6,0,1,0,0,283,0,0,0,6
11,0.2,0.6,0,1,0,0,283,0,0,0,6
12,0.2,0.6,0,1,0,0,283,0,0,0,6
13,0.2,0.6,0,1,0,0,283,0,0,0,6
14,0.2,0.6,0,1,0,0,283,0,0,0,6
15,0.2,0.6,0,1,0,0,283,0,0,0,6
16,0.2,0.6,0,1,0,0,283,0,0,0,6
17,0.2,0.6,0,1,0,0,283,0,0,0,6
18,0.2,0.6,0,1,0,0,283,0,0,0,6
19,0.2,0.6,0,1,0,0,283,0,0,0,6
20,0.2,0.6,0,1,0,0,283,0,0,0,6
21,0.2,0.6,0,1,0,0,283,0,0,0,6
22,0.2,0.6,0,1,0,0,283,0,0,0,6
23,0.2,0.6,0,1,0,0,283,0,0,0,6
24,0.2,0.6,0,1,0,0,283,0,0,0,6
25,0.2,0.6,0,1,0,0,283,0,0,0,6
26,0.2,0.6,0,1,0,0,283,0,0,0,6
27,0.2,0.6,0,1,0,0,283,0,0,0,6
28,0.2,0.6,0,1,0,0,283,0,0,0,6
29,0.2,0.6,0,1,0,0,283,0,0,0,6
30,0.2,0.6,0,1,0,0,283,0,0,0,6
31,0.2,0.6,0,1,0,0,283,0,0,0,6
32,0.2,0.6,0,1,0,0,283,0,0,0,6
33,0.2,0.6,0,1,0,0,283,0,0,0,6
34,0.2,0.6,0,1,0,0,283,0,0,0,6
35,0.2,0.6,0,1,0,0,283,0,0,0,6
36,0.2,0.6,0,1,0,0,283,0,0,0,6
37,0.2,0.6,0,1,0,0,283,0,0,0,6
38,0.2,0.6,0,1,0,0,283,0,0,0,6
39,0.2,0.6,0,1,0,0,283,0,0,0,6
40,0.2,0.6,0,1,0,0,283,0,0,0,6
41,0.2,0.6,0,1,0,0,283,0,0,0,6
42,0.2,0.6,0,1,0,0,283,0,0,0,6
43,0.2,0.6,0,1,0,0,283,0,0,0,6
44,0.2,0.6,0,1,0,0,283,0,0,0,6
45,0.2,0.6,0,1,0,0,283,0,0,0,6
46,0.2,0.6,0,1,0,0,283,0,0,0,6
47,0.2,0.6,0,1,0,0,283,0,0,0,6
48,0.2,0.6,0,1,0,0,283,0,0,0,6
49,0.2,0.6,0,1,0,0,283,0,0,0,6
50,0.2,0.6,0,1,0,0,283,0,0,0,6
51,0.2,0.6,0,1,0,0,283,0,0,0,6
52,0.2,0.6,0,1,0,0,283,0,0,0,6
53,0.2,0.6,0,1,0,0,283,0,0,0,6
54,0.2,0.6,0,1,0,0,283,0,0,0,6
55,0.2,0.6,0,1,0,0,283,0,0,0,6
56,0.2,0.6,0,1,0,0,283,0,0,0,6
57,0.2,0.6,0,1,0,0,283,0,0,0,6
58,0.2,0.6,0,1,0,0,283,0,0,0,6
59,0.2,0.6,0,1,0,0,283,0,0,0,6
60,0.2,0.6,0,1,0,0,283,0,0,0,6
61,0.2,0.6,0,1,0,0,283,0,0,0,6
62,0.2,0.6,0,1,0,0,283,0,0,0,6
63,0.2,0.6,0,1,0,0,283,0,0,0,6
64,0.2,0.6,0,1,0,0,283,0,0,0,6
65,0.2,0.6,0,1,0,0,283,0,0,0,6
66,0.2,0.6,0,1,0,0,283,0,0,0,6
67,0.2,0.6,0,1,0,0,283,0,0,0,6
68,0.2,0.6,0,1,0,0,283,0,0,0,6
69,0.2,0.6,0,1,0,0,283,0,0,0,6
70,0.2,0.6,0,1,0,0,283,0,0,0,6
71,0.2,0.6,0,1,0,0,283,0,0,0,6
72,0.2,0.6,0,1,0,0,283,0,0,0,6
73,0.2,0.6,0,1,0,0,283,0,0,0,6
74,0.2,0.6,0,1,0,0,283,0,0,0,6
75,0.2,0.6,0,1,0,0,283,0,0,0,6
76,0.2,0.6,0,1,0,0,283,0,0,0,6
77,0.2,0.6,0,1,0,0,283,0,0,0,6
78,0.2,0.6,0,1,0,0,283,0,0,0,6
79,0.2,0.6,0,1,0,0,283,0,0,0,6
80,0.2,0.6,0,1,0,0,283,0,0,0,6
81,0.2,0.6,0,1,0,0,283,0,0,0,6
82,0.2,0.6,0,1,0,0,283,0,0,0,6
83,0.2,0.6,0,1,0,0,283,0,0,0,6
84,0.2,0.6,0,1,0,0,283,0,0,0,6
85,0.2,0.6,0,1,0,0,283,0,0,0,6
86,0.2,0.6,0,1,0,0,283,0,0,0,6
87,0.2,0.6,0,1,0,0,283,0,0,0,6
88,0.2,0.6,0,1,0,0,283,0,0,0,6
89,0.2,0.6,0,1,0,0,283,0,0,0,6
90,0.2,0.6,0,1,0,0,283,0,0,0,6
91,0.2,0.6,0,1,0,0,283,0,0,0,6
92,0.2,0.6,0,1,0,0,283,0,0,0,6
93,0.2,0.6,0,1,0,0,283,0,0,0,6
94,0.2,0.6,0,1,0,0,283,0,0,0,6
95,0.2,0.6,0,1,0,0,283,0,0,0,6
96,0.2,0.6,0,1,0,0,283,0,0,0,6
97,0.2,0.6,0,1,0,0,283,0,0,0,6
98,0.2,0.6,0,1,0,0,283,0,0,0,6
99,0.2,0.6,0,1,0,0,283,0,0,0,6
100,0.2,0.6,0,1,0,0,283,0,0,0,6
101,0.2,0.6,0,1,0,0,283,0,0,0,6
102,0.2,0.6,0,1,0,0,283,0,0,0,6
103,0.2,0.6,0,1,0,0,283,0,0,0,6
104,0.2,0.6,0,1,0,0,283,0,0,0,6
105,0.2,0.6,0,1,0,0,283,0,0,0,6
106,0.2,0.6,0,1,0,0,283,0,0,0,6
107,0.2,0.6,0,1,0,0,283,0,0,0,6
108,0.2,0.6,0,1,0,0,283,0,0,0,6
109,0.2,0.6,0,1,0,0,283,0,0,0,6
110,0.2,0.6,0,1,0,0,283,0,0,0,6
111,0.2,0.6,1,1,0,0,283,1,0,1,6
112,0.2,0.6,1,1,0,0,283,1,0,0,6
113,0.2,0.6,1,2,0,0,282,1,0,0,6
114,0.2,0.6,1,2,0,0,282,1,0,0,6
115,0.2,0.6,1,2,0,0,282,1,0,0,6
116,0.2,0.6,1,3,0,0,281,1,0,0,6
117,0.2,0.6,1,3,0,0,281,1,0,0,6
118,0.2,0.6,1,3,0,0,281,1,0,0,6
119,0.2,0.6,1,3,0,0,281,1,0,0,6
120,0.2,0.6,1,4,0,0,280,1,0,0,6
121,0.2,0.6,1,5,0,0,279,1,0,0,6
122,0.2,0.6,1,5,0,0,279,1,0,0,6
123,0.2,0.6,0,5,1,0,279,0,0,0,6
124,0.2,0.6,0,5,1,0,279,0,0,0,6
125,0.2,0.6,0,5,1,0,279,0,0,0,6
126,0.2,0.6,0,5,1,0,279,0,0,0,6
