# Data from simulation of 500 agents with various levels         of sheltering or mask usage
time,percent sheltering,percent wearing masks,infected,        exposed,recovered,infected with mask,susceptible with mask,        infected symptomatic,infected asymptomatic,new infected,percent asymptomatic
1,0.4,0.4,0,1,0,0,199,0,0,0,4
2,0.4,0.4,0,1,0,0,199,0,0,0,4
3,0.4,0.4,0,1,0,0,199,0,0,0,4
4,0.4,0.4,0,1,0,0,199,0,0,0,4
5,0.4,0.4,0,1,0,0,199,0,0,0,4
6,0.4,0.4,0,1,0,0,199,0,0,0,4
7,0.4,0.4,0,1,0,0,199,0,0,0,4
8,0.4,0.4,0,1,0,0,199,0,0,0,4
9,0.4,0.4,0,1,0,0,199,0,0,0,4
10,0.4,0.4,0,1,0,0,199,0,0,0,4
11,0.4,0.4,0,1,0,0,199,0,0,0,4
12,0.4,0.4,0,1,0,0,199,0,0,0,4
13,0.4,0.4,0,1,0,0,199,0,0,0,4
14,0.4,0.4,0,1,0,0,199,0,0,0,4
15,0.4,0.4,0,1,0,0,199,0,0,0,4
16,0.4,0.4,0,1,0,0,199,0,0,0,4
17,0.4,0.4,0,1,0,0,199,0,0,0,4
18,0.4,0.4,0,1,0,0,199,0,0,0,4
19,0.4,0.4,0,1,0,0,199,0,0,0,4
20,0.4,0.4,0,1,0,0,199,0,0,0,4
21,0.4,0.4,0,1,0,0,199,0,0,0,4
22,0.4,0.4,0,1,0,0,199,0,0,0,4
23,0.4,0.4,0,1,0,0,199,0,0,0,4
24,0.4,0.4,0,1,0,0,199,0,0,0,4
25,0.4,0.4,0,1,0,0,199,0,0,0,4
26,0.4,0.4,0,1,0,0,199,0,0,0,4
27,0.4,0.4,0,1,0,0,199,0,0,0,4
28,0.4,0.4,0,1,0,0,199,0,0,0,4
29,0.4,0.4,0,1,0,0,199,0,0,0,4
30,0.4,0.4,0,1,0,0,199,0,0,0,4
31,0.4,0.4,0,1,0,0,199,0,0,0,4
32,0.4,0.4,0,1,0,0,199,0,0,0,4
33,0.4,0.4,0,1,0,0,199,0,0,0,4
34,0.4,0.4,0,1,0,0,199,0,0,0,4
35,0.4,0.4,0,1,0,0,199,0,0,0,4
36,0.4,0.4,0,1,0,0,199,0,0,0,4
37,0.4,0.4,0,1,0,0,199,0,0,0,4
38,0.4,0.4,0,1,0,0,199,0,0,0,4
39,0.4,0.4,0,1,0,0,199,0,0,0,4
40,0.4,0.4,0,1,0,0,199,0,0,0,4
41,0.4,0.4,0,1,0,0,199,0,0,0,4
42,0.4,0.4,0,1,0,0,199,0,0,0,4
43,0.4,0.4,0,1,0,0,199,0,0,0,4
44,0.4,0.4,0,1,0,0,199,0,0,0,4
45,0.4,0.4,0,1,0,0,199,0,0,0,4
46,0.4,0.4,0,1,0,0,199,0,0,0,4
47,0.4,0.4,0,1,0,0,199,0,0,0,4
48,0.4,0.4,0,1,0,0,199,0,0,0,4
49,0.4,0.4,0,1,0,0,199,0,0,0,4
50,0.4,0.4,0,1,0,0,199,0,0,0,4
51,0.4,0.4,0,1,0,0,199,0,0,0,4
52,0.4,0.4,0,1,0,0,199,0,0,0,4
53,0.4,0.4,0,1,0,0,199,0,0,0,4
54,0.4,0.4,0,1,0,0,199,0,0,0,4
55,0.4,0.4,0,1,0,0,199,0,0,0,4
56,0.4,0.4,0,1,0,0,199,0,0,0,4
57,0.4,0.4,0,1,0,0,199,0,0,0,4
58,0.4,0.4,0,1,0,0,199,0,0,0,4
59,0.4,0.4,0,1,0,0,199,0,0,0,4
60,0.4,0.4,0,1,0,0,199,0,0,0,4
61,0.4,0.4,0,1,0,0,199,0,0,0,4
62,0.4,0.4,0,1,0,0,199,0,0,0,4
63,0.4,0.4,0,1,0,0,199,0,0,0,4
64,0.4,0.4,0,1,0,0,199,0,0,0,4
65,0.4,0.4,0,1,0,0,199,0,0,0,4
66,0.4,0.4,0,1,0,0,199,0,0,0,4
67,0.4,0.4,0,1,0,0,199,0,0,0,4
68,0.4,0.4,0,1,0,0,199,0,0,0,4
69,0.4,0.4,0,1,0,0,199,0,0,0,4
70,0.4,0.4,0,1,0,0,199,0,0,0,4
71,0.4,0.4,0,1,0,0,199,0,0,0,4
72,0.4,0.4,0,1,0,0,199,0,0,0,4
73,0.4,0.4,0,1,0,0,199,0,0,0,4
74,0.4,0.4,0,1,0,0,199,0,0,0,4
75,0.4,0.4,0,1,0,0,199,0,0,0,4
76,0.4,0.4,0,1,0,0,199,0,0,0,4
77,0.4,0.4,0,1,0,0,199,0,0,0,4
78,0.4,0.4,0,1,0,0,199,0,0,0,4
79,0.4,0.4,0,1,0,0,199,0,0,0,4
80,0.4,0.4,0,1,0,0,199,0,0,0,4
81,0.4,0.4,0,1,0,0,199,0,0,0,4
82,0.4,0.4,0,1,0,0,199,0,0,0,4
83,0.4,0.4,0,1,0,0,199,0,0,0,4
84,0.4,0.4,0,1,0,0,199,0,0,0,4
85,0.4,0.4,0,1,0,0,199,0,0,0,4
86,0.4,0.4,0,1,0,0,199,0,0,0,4
87,0.4,0.4,0,1,0,0,199,0,0,0,4
88,0.4,0.4,0,1,0,0,199,0,0,0,4
89,0.4,0.4,0,1,0,0,199,0,0,0,4
90,0.4,0.4,0,1,0,0,199,0,0,0,4
91,0.4,0.4,0,1,0,0,199,0,0,0,4
92,0.4,0.4,0,1,0,0,199,0,0,0,4
93,0.4,0.4,0,1,0,0,199,0,0,0,4
94,0.4,0.4,0,1,0,0,199,0,0,0,4
95,0.4,0.4,0,1,0,0,199,0,0,0,4
96,0.4,0.4,0,1,0,0,199,0,0,0,4
97,0.4,0.4,0,1,0,0,199,0,0,0,4
98,0.4,0.4,0,1,0,0,199,0,0,0,4
99,0.4,0.4,0,1,0,0,199,0,0,0,4
100,0.4,0.4,0,1,0,0,199,0,0,0,4
101,0.4,0.4,0,1,0,0,199,0,0,0,4
102,0.4,0.4,0,1,0,0,199,0,0,0,4
103,0.4,0.4,0,1,0,0,199,0,0,0,4
104,0.4,0.4,0,1,0,0,199,0,0,0,4
105,0.4,0.4,0,1,0,0,199,0,0,0,4
106,0.4,0.4,0,1,0,0,199,0,0,0,4
107,0.4,0.4,0,1,0,0,199,0,0,0,4
108,0.4,0.4,0,1,0,0,199,0,0,0,4
109,0.4,0.4,0,1,0,0,199,0,0,0,4
110,0.4,0.4,0,1,0,0,199,0,0,0,4
111,0.4,0.4,1,0,0,0,199,1,0,1,4
112,0.4,0.4,1,1,0,0,199,1,0,0,4
113,0.4,0.4,1,1,0,0,199,1,0,0,4
114,0.4,0.4,1,1,0,0,199,1,0,0,4
115,0.4,0.4,1,1,0,0,199,1,0,0,4
116,0.4,0.4,1,1,0,0,199,1,0,0,4
117,0.4,0.4,1,1,0,0,199,1,0,0,4
118,0.4,0.4,1,2,0,0,199,1,0,0,4
119,0.4,0.4,1,2,0,0,199,1,0,0,4
120,0.4,0.4,1,2,0,0,199,1,0,0,4
121,0.4,0.4,1,2,0,0,199,1,0,0,4
122,0.4,0.4,1,2,0,0,199,1,0,0,4
123,0.4,0.4,0,2,1,0,199,0,0,0,4
124,0.4,0.4,0,2,1,0,199,0,0,0,4
125,0.4,0.4,0,2,1,0,199,0,0,0,4
126,0.4,0.4,0,2,1,0,199,0,0,0,4
127,0.4,0.4,0,2,1,0,199,0,0,0,4
128,0.4,0.4,0,2,1,0,199,0,0,0,4
129,0.4,0.4,0,2,1,0,199,0,0,0,4
130,0.4,0.4,0,2,1,0,199,0,0,0,4
131,0.4,0.4,0,2,1,0,199,0,0,0,4
132,0.4,0.4,0,2,1,0,199,0,0,0,4
133,0.4,0.4,0,2,1,0,199,0,0,0,4
134,0.4,0.4,0,2,1,0,199,0,0,0,4
135,0.4,0.4,0,2,1,0,199,0,0,0,4
136,0.4,0.4,0,2,1,0,199,0,0,0,4
137,0.4,0.4,0,2,1,0,199,0,0,0,4
138,0.4,0.4,0,2,1,0,199,0,0,0,4
139,0.4,0.4,0,2,1,0,199,0,0,0,4
140,0.4,0.4,0,2,1,0,199,0,0,0,4
141,0.4,0.4,0,2,1,0,199,0,0,0,4
142,0.4,0.4,0,2,1,0,199,0,0,0,4
143,0.4,0.4,0,2,1,0,199,0,0,0,4
144,0.4,0.4,0,2,1,0,199,0,0,0,4
145,0.4,0.4,0,2,1,0,199,0,0,0,4
146,0.4,0.4,0,2,1,0,199,0,0,0,4
147,0.4,0.4,0,2,1,0,199,0,0,0,4
148,0.4,0.4,0,2,1,0,199,0,0,0,4
149,0.4,0.4,0,2,1,0,199,0,0,0,4
150,0.4,0.4,0,2,1,0,199,0,0,0,4
151,0.4,0.4,0,2,1,0,199,0,0,0,4
152,0.4,0.4,0,2,1,0,199,0,0,0,4
153,0.4,0.4,0,2,1,0,199,0,0,0,4
154,0.4,0.4,0,2,1,0,199,0,0,0,4
155,0.4,0.4,0,2,1,0,199,0,0,0,4
156,0.4,0.4,0,2,1,0,199,0,0,0,4
157,0.4,0.4,0,2,1,0,199,0,0,0,4
158,0.4,0.4,0,2,1,0,199,0,0,0,4
159,0.4,0.4,0,2,1,0,199,0,0,0,4
160,0.4,0.4,0,2,1,0,199,0,0,0,4
161,0.4,0.4,0,2,1,0,199,0,0,0,4
162,0.4,0.4,0,2,1,0,199,0,0,0,4
163,0.4,0.4,0,2,1,0,199,0,0,0,4
164,0.4,0.4,0,2,1,0,199,0,0,0,4
165,0.4,0.4,0,2,1,0,199,0,0,0,4
166,0.4,0.4,0,2,1,0,199,0,0,0,4
167,0.4,0.4,0,2,1,0,199,0,0,0,4
168,0.4,0.4,0,2,1,0,199,0,0,0,4
169,0.4,0.4,0,2,1,0,199,0,0,0,4
170,0.4,0.4,0,2,1,0,199,0,0,0,4
171,0.4,0.4,0,2,1,0,199,0,0,0,4
172,0.4,0.4,0,2,1,0,199,0,0,0,4
173,0.4,0.4,0,2,1,0,199,0,0,0,4
174,0.4,0.4,0,2,1,0,199,0,0,0,4
175,0.4,0.4,0,2,1,0,199,0,0,0,4
176,0.4,0.4,0,2,1,0,199,0,0,0,4
177,0.4,0.4,0,2,1,0,199,0,0,0,4
178,0.4,0.4,0,2,1,0,199,0,0,0,4
179,0.4,0.4,0,2,1,0,199,0,0,0,4
180,0.4,0.4,0,2,1,0,199,0,0,0,4
181,0.4,0.4,0,2,1,0,199,0,0,0,4
182,0.4,0.4,0,2,1,0,199,0,0,0,4
183,0.4,0.4,0,2,1,0,199,0,0,0,4
184,0.4,0.4,0,2,1,0,199,0,0,0,4
185,0.4,0.4,0,2,1,0,199,0,0,0,4
186,0.4,0.4,0,2,1,0,199,0,0,0,4
187,0.4,0.4,0,2,1,0,199,0,0,0,4
188,0.4,0.4,0,2,1,0,199,0,0,0,4
189,0.4,0.4,0,2,1,0,199,0,0,0,4
190,0.4,0.4,0,2,1,0,199,0,0,0,4
191,0.4,0.4,0,2,1,0,199,0,0,0,4
192,0.4,0.4,0,2,1,0,199,0,0,0,4
