# Data from simulation of 500 agents with various levels         of sheltering or mask usage
time,percent sheltering,percent wearing masks,infected,        exposed,recovered,infected with mask,susceptible with mask,        infected symptomatic,infected asymptomatic,new infected,percent asymptomatic
1,0.6,0.4,0,1,0,0,209,0,0,0,4
2,0.6,0.4,0,1,0,0,209,0,0,0,4
3,0.6,0.4,0,1,0,0,209,0,0,0,4
4,0.6,0.4,0,1,0,0,209,0,0,0,4
5,0.6,0.4,0,1,0,0,209,0,0,0,4
6,0.6,0.4,0,1,0,0,209,0,0,0,4
7,0.6,0.4,0,1,0,0,209,0,0,0,4
8,0.6,0.4,0,1,0,0,209,0,0,0,4
9,0.6,0.4,0,1,0,0,209,0,0,0,4
10,0.6,0.4,0,1,0,0,209,0,0,0,4
11,0.6,0.4,0,1,0,0,209,0,0,0,4
12,0.6,0.4,0,1,0,0,209,0,0,0,4
13,0.6,0.4,0,1,0,0,209,0,0,0,4
14,0.6,0.4,0,1,0,0,209,0,0,0,4
15,0.6,0.4,0,1,0,0,209,0,0,0,4
16,0.6,0.4,0,1,0,0,209,0,0,0,4
17,0.6,0.4,0,1,0,0,209,0,0,0,4
18,0.6,0.4,0,1,0,0,209,0,0,0,4
19,0.6,0.4,0,1,0,0,209,0,0,0,4
20,0.6,0.4,0,1,0,0,209,0,0,0,4
21,0.6,0.4,0,1,0,0,209,0,0,0,4
22,0.6,0.4,0,1,0,0,209,0,0,0,4
23,0.6,0.4,0,1,0,0,209,0,0,0,4
24,0.6,0.4,0,1,0,0,209,0,0,0,4
25,0.6,0.4,0,1,0,0,209,0,0,0,4
26,0.6,0.4,0,1,0,0,209,0,0,0,4
27,0.6,0.4,0,1,0,0,209,0,0,0,4
28,0.6,0.4,0,1,0,0,209,0,0,0,4
29,0.6,0.4,0,1,0,0,209,0,0,0,4
30,0.6,0.4,0,1,0,0,209,0,0,0,4
31,0.6,0.4,0,1,0,0,209,0,0,0,4
32,0.6,0.4,0,1,0,0,209,0,0,0,4
33,0.6,0.4,0,1,0,0,209,0,0,0,4
34,0.6,0.4,0,1,0,0,209,0,0,0,4
35,0.6,0.4,0,1,0,0,209,0,0,0,4
36,0.6,0.4,0,1,0,0,209,0,0,0,4
37,0.6,0.4,0,1,0,0,209,0,0,0,4
38,0.6,0.4,0,1,0,0,209,0,0,0,4
39,0.6,0.4,0,1,0,0,209,0,0,0,4
40,0.6,0.4,0,1,0,0,209,0,0,0,4
41,0.6,0.4,0,1,0,0,209,0,0,0,4
42,0.6,0.4,0,1,0,0,209,0,0,0,4
43,0.6,0.4,0,1,0,0,209,0,0,0,4
44,0.6,0.4,0,1,0,0,209,0,0,0,4
45,0.6,0.4,0,1,0,0,209,0,0,0,4
46,0.6,0.4,0,1,0,0,209,0,0,0,4
47,0.6,0.4,0,1,0,0,209,0,0,0,4
48,0.6,0.4,0,1,0,0,209,0,0,0,4
49,0.6,0.4,0,1,0,0,209,0,0,0,4
50,0.6,0.4,0,1,0,0,209,0,0,0,4
51,0.6,0.4,0,1,0,0,209,0,0,0,4
52,0.6,0.4,0,1,0,0,209,0,0,0,4
53,0.6,0.4,0,1,0,0,209,0,0,0,4
54,0.6,0.4,0,1,0,0,209,0,0,0,4
55,0.6,0.4,0,1,0,0,209,0,0,0,4
56,0.6,0.4,0,1,0,0,209,0,0,0,4
57,0.6,0.4,0,1,0,0,209,0,0,0,4
58,0.6,0.4,0,1,0,0,209,0,0,0,4
59,0.6,0.4,0,1,0,0,209,0,0,0,4
60,0.6,0.4,0,1,0,0,209,0,0,0,4
61,0.6,0.4,0,1,0,0,209,0,0,0,4
62,0.6,0.4,0,1,0,0,209,0,0,0,4
63,0.6,0.4,0,1,0,0,209,0,0,0,4
64,0.6,0.4,0,1,0,0,209,0,0,0,4
65,0.6,0.4,0,1,0,0,209,0,0,0,4
66,0.6,0.4,0,1,0,0,209,0,0,0,4
67,0.6,0.4,0,1,0,0,209,0,0,0,4
68,0.6,0.4,0,1,0,0,209,0,0,0,4
69,0.6,0.4,0,1,0,0,209,0,0,0,4
70,0.6,0.4,0,1,0,0,209,0,0,0,4
71,0.6,0.4,0,1,0,0,209,0,0,0,4
72,0.6,0.4,0,1,0,0,209,0,0,0,4
73,0.6,0.4,0,1,0,0,209,0,0,0,4
74,0.6,0.4,0,1,0,0,209,0,0,0,4
75,0.6,0.4,0,1,0,0,209,0,0,0,4
76,0.6,0.4,0,1,0,0,209,0,0,0,4
77,0.6,0.4,0,1,0,0,209,0,0,0,4
